epoch,loss,val_acc,val_auc,val_loss,val_pre
0,0.5604372159538106,0.7451787963949995,0.8220857729737254,0.5311644293110946,0.7572841486233627
1,0.5209218594763014,0.7469304873441632,0.8221829778219253,0.5206547184237118,0.758554469273743
2,0.5134417799293486,0.7525908039038133,0.8202728267069642,0.5265823962359593,0.7643936667866139
3,0.5061864254311619,0.754733342968637,0.8279350856935498,0.5103983488576166,0.7593752757434042
4,0.4980061079701807,0.7545201000192344,0.8298728899950476,0.5220210089765746,0.7625216677310465
5,0.4920227036007449,0.7613352016815134,0.839563565141022,0.5088444824876457,0.7714872944693573
6,0.485484695332682,0.7597181849534413,0.8315679136994933,0.5029962494455534,0.781970072523639
7,0.4775272569595239,0.7518536350505537,0.8287875702556755,0.5019926110218311,0.7775334432838557
8,0.4727920902590466,0.76108484697686,0.8331548518935181,0.4911523872408374,0.7923602424708939
9,0.4699520461070232,0.7599815724815725,0.8405324707730697,0.4995701775468629,0.7891096824469122
10,0.4634265749372988,0.7600368949949027,0.839024637505841,0.5024865865707397,0.7808978553253363
11,0.4607189519283099,0.7596366062721347,0.8369248142065696,0.49892531283970537,0.7743618408794485
12,0.45640168791143304,0.7590725806451613,0.8374932645571485,0.49398732493663655,0.785193009410409
13,0.4507055394669883,0.7639166428775336,0.8419904640831338,0.48573029863423317,0.7766294986855227
14,0.4476374884446462,0.7570041468595125,0.8381529912456498,0.5088527449246111,0.7711277624964431
15,0.4456403905000442,0.7495320823535058,0.8305260874184911,0.5128982529557985,0.7650714729645742
16,0.44271786905761457,0.7665152562456798,0.8440574394777265,0.4885483168322465,0.7837551727456453
17,0.440538832010367,0.7533534214618973,0.8306118965648202,0.4981379272608921,0.7763809523809524
18,0.4379543786884373,0.765937530791211,0.8445381582239154,0.48241559082064134,0.7745697357283927
19,0.4345238636701535,0.760924349769388,0.8376201293137416,0.503077358007431,0.7787915464109487
