epoch,loss,val_acc,val_auc,val_loss,val_pre
0,0.6950437426567078,0.5243553008595988,0.5642852409039697,0.6785455942153931,0.5418060200668896
1,0.637466549873352,0.501432664756447,0.5130890052356021,0.7066118121147156,0.5278688524590164
2,0.6735947132110596,0.5329512893982808,0.6369209357810326,0.7163243293762207,0.5454545454545454
3,0.6092785596847534,0.5214899713467048,0.5585194512558816,0.7495517134666443,0.5365853658536586
4,0.7979480624198914,0.501432664756447,0.4856517993240109,0.7878973484039307,0.5435897435897435
5,0.7152031660079956,0.5501432664756447,0.6371860295579561,0.683954119682312,0.5544871794871795
6,0.597142219543457,0.5558739255014327,0.5704818079395586,0.679219126701355,0.5576923076923077
7,0.6117134690284729,0.5558739255014327,0.5795612697991914,0.6766851544380188,0.55625
8,0.5915806293487549,0.5616045845272206,0.5890052356020943,0.676451563835144,0.5612903225806452
9,0.5700157284736633,0.5157593123209169,0.5956657167472993,0.6668826341629028,0.5369127516778524
